dataset,neuron,tpm_min,pct_max,N,K,n,k,bg_frac,obs_frac,enrichment,p_hypergeom,q_bh,sig_bh
Taylor adult,CAN,25,0.2,14426,2888,30,7,0.200194,0.233333,1.1655,0.394039,0.642327,False
Taylor adult,CAN,25,0.33,14426,2075,30,7,0.143838,0.233333,1.6222,0.129513,0.517435,False
Taylor adult,CAN,25,0.5,14426,1228,30,6,0.085124,0.2,2.3495,0.037981,0.285617,False
Taylor adult,CEP,25,0.01,14426,4116,30,11,0.285318,0.366667,1.2851,0.21295,0.539537,False
Taylor adult,CEP,25,0.05,14426,4064,30,11,0.281714,0.366667,1.3016,0.200052,0.539537,False
Taylor adult,CEP,25,0.1,14426,3854,30,11,0.267157,0.366667,1.3725,0.152299,0.517435,False
Taylor adult,CEP,25,0.2,14426,3112,30,11,0.215722,0.366667,1.6997,0.042496,0.285617,False
Taylor adult,CEP,25,0.33,14426,2041,30,6,0.141481,0.2,1.4136,0.243771,0.539537,False
Taylor adult,CEP,25,0.5,14426,888,30,0,0.061556,0.0,0.0,1.0,1.0,False
Taylor adult,HSN,25,0.01,14426,3601,30,12,0.249619,0.4,1.6024,0.049948,0.299687,False
Taylor adult,HSN,25,0.05,14426,3490,30,11,0.241924,0.366667,1.5156,0.087091,0.415884,False
Taylor adult,HSN,25,0.1,14426,3127,30,11,0.216761,0.366667,1.6916,0.043857,0.285617,False
Taylor adult,HSN,25,0.2,14426,2385,30,10,0.165326,0.333333,2.0162,0.018576,0.285617,False
Taylor adult,HSN,25,0.33,14426,1437,30,7,0.099612,0.233333,2.3424,0.025205,0.285617,False
Taylor adult,HSN,25,0.5,14426,592,30,5,0.041037,0.166667,4.0614,0.006959,0.285617,False
Taylor adult,NSM,25,0.01,14426,4293,30,14,0.297588,0.466667,1.5682,0.037359,0.285617,False
Taylor adult,NSM,25,0.05,14426,4227,30,14,0.293013,0.466667,1.5927,0.032894,0.285617,False
Taylor adult,NSM,25,0.1,14426,3956,30,13,0.274227,0.433333,1.5802,0.044203,0.285617,False
Taylor adult,NSM,25,0.2,14426,3239,30,11,0.224525,0.366667,1.6331,0.055033,0.308186,False
Taylor adult,NSM,25,0.33,14426,2280,30,8,0.158048,0.266667,1.6873,0.089118,0.415884,False
Taylor adult,NSM,25,0.5,14426,1272,30,6,0.088174,0.2,2.2682,0.043999,0.285617,False
Taylor adult,PDE,25,0.01,14426,4071,30,9,0.282199,0.3,1.0631,0.48259,0.671104,False
Taylor adult,PDE,25,0.05,14426,3993,30,9,0.276792,0.3,1.0838,0.456015,0.649801,False
Taylor adult,PDE,25,0.1,14426,3728,30,8,0.258422,0.266667,1.0319,0.528417,0.693547,False
Taylor adult,PDE,25,0.2,14426,3007,30,6,0.208443,0.2,0.9595,0.617099,0.710524,False
Taylor adult,PDE,25,0.33,14426,2153,30,6,0.149244,0.2,1.3401,0.285169,0.563698,False
Taylor adult,PDE,25,0.5,14426,1262,30,6,0.087481,0.2,2.2862,0.042581,0.285617,False
Taylor adult,RIC,25,0.01,14426,2969,30,6,0.205809,0.2,0.9718,0.603459,0.710524,False
Taylor adult,RIC,25,0.05,14426,2914,30,6,0.201996,0.2,0.9901,0.58334,0.708058,False
Taylor adult,RIC,25,0.1,14426,2591,30,5,0.179606,0.166667,0.928,0.647292,0.710524,False
Taylor adult,RIC,25,0.2,14426,1745,30,3,0.120962,0.1,0.8267,0.7209,0.776354,False
Taylor adult,RIC,25,0.33,14426,805,30,3,0.055802,0.1,1.792,0.233258,0.539537,False
Taylor adult,RIC,25,0.5,14426,300,30,2,0.020796,0.066667,3.2058,0.128337,0.517435,False
Taylor adult,RIH,25,0.01,14426,2022,30,4,0.140164,0.133333,0.9513,0.622654,0.710524,False
Taylor adult,RIH,25,0.05,14426,1850,30,4,0.128241,0.133333,1.0397,0.548121,0.700193,False
Taylor adult,RIH,25,0.1,14426,1445,30,3,0.100166,0.1,0.9983,0.590048,0.708058,False
Taylor adult,RIH,25,0.2,14426,735,30,2,0.05095,0.066667,1.3085,0.456408,0.649801,False
Taylor adult,RIH,25,0.33,14426,281,30,0,0.019479,0.0,0.0,1.0,1.0,False
Taylor adult,RIH,25,0.5,14426,93,30,0,0.006447,0.0,0.0,1.0,1.0,False
Taylor adult,RIM,25,0.01,14426,3450,30,8,0.239152,0.266667,1.1151,0.43016,0.64524,False
Taylor adult,RIM,25,0.05,14426,3401,30,8,0.235755,0.266667,1.1311,0.412749,0.642327,False
Taylor adult,RIM,25,0.1,14426,3097,30,8,0.214682,0.266667,1.2421,0.307205,0.563698,False
Taylor adult,RIM,25,0.2,14426,2223,30,7,0.154097,0.233333,1.5142,0.168608,0.524557,False
Taylor adult,RIM,25,0.33,14426,1271,30,4,0.088105,0.133333,1.5133,0.269446,0.563698,False
Taylor adult,RIM,25,0.5,14426,564,30,2,0.039096,0.066667,1.7052,0.328824,0.563698,False
Taylor adult,RIR,25,0.01,14426,3614,30,9,0.25052,0.3,1.1975,0.328713,0.563698,False
Taylor adult,RIR,25,0.05,14426,3560,30,9,0.246777,0.3,1.2157,0.311304,0.563698,False
Taylor adult,RIR,25,0.1,14426,3324,30,9,0.230417,0.3,1.302,0.23912,0.539537,False
Taylor adult,RIR,25,0.2,14426,2645,30,7,0.18335,0.233333,1.2726,0.30497,0.563698,False
Taylor adult,RIR,25,0.33,14426,1736,30,4,0.120338,0.133333,1.108,0.495339,0.671104,False
Taylor adult,RIR,25,0.5,14426,874,30,2,0.060585,0.066667,1.1004,0.550152,0.700193,False
Taylor adult,ASI,25,0.01,14426,3520,30,8,0.244004,0.266667,1.0929,0.455061,0.649801,False
Taylor adult,ASI,25,0.05,14426,3359,30,7,0.232843,0.233333,1.0021,0.56807,0.708058,False
Taylor adult,ASI,25,0.1,14426,2946,30,7,0.204215,0.233333,1.1426,0.415753,0.642327,False
Taylor adult,ASI,25,0.2,14426,2170,30,7,0.150423,0.233333,1.5512,0.153998,0.517435,False
Taylor adult,ASI,25,0.33,14426,1273,30,5,0.088243,0.166667,1.8887,0.119825,0.517435,False
Taylor adult,ASI,25,0.5,14426,633,30,4,0.043879,0.133333,3.0387,0.040719,0.285617,False
Taylor adult,VC_4_5,25,0.01,14426,3043,30,9,0.210939,0.3,1.4222,0.164143,0.524557,False
Taylor adult,VC_4_5,25,0.05,14426,2932,30,9,0.203244,0.3,1.4761,0.138501,0.517435,False
Taylor adult,VC_4_5,25,0.1,14426,2553,30,8,0.176972,0.266667,1.5068,0.147162,0.517435,False
Taylor adult,VC_4_5,25,0.2,14426,1841,30,7,0.127617,0.233333,1.8284,0.0791,0.415275,False
Taylor adult,VC_4_5,25,0.33,14426,1117,30,4,0.07743,0.133333,1.722,0.199327,0.539537,False
Taylor adult,VC_4_5,25,0.5,14426,536,30,4,0.037155,0.133333,3.5886,0.024014,0.285617,False
Ghaddar (adult),ADF,1,0.01,20222,8512,40,22,0.420928,0.55,1.3066,0.068323,0.265255,False
Ghaddar (adult),ADF,1,0.05,20222,7464,40,17,0.369103,0.425,1.1514,0.281539,0.534886,False
Ghaddar (adult),ADF,1,0.1,20222,6203,40,9,0.306745,0.225,0.7335,0.905395,0.929314,False
Ghaddar (adult),ADF,1,0.2,20222,4210,40,8,0.208189,0.2,0.9607,0.612958,0.749171,False
Ghaddar (adult),ADF,1,0.33,20222,2500,40,5,0.123628,0.125,1.0111,0.56111,0.698741,False
Ghaddar (adult),ADF,1,0.5,20222,1226,40,4,0.060627,0.1,1.6494,0.222479,0.524414,False
Ghaddar (adult),AVM,1,0.01,20222,8769,40,22,0.433637,0.55,1.2683,0.092815,0.306291,False
Ghaddar (adult),AVM,1,0.05,20222,7520,40,20,0.371872,0.5,1.3445,0.066623,0.265255,False
Ghaddar (adult),AVM,1,0.1,20222,6059,40,13,0.299624,0.325,1.0847,0.420724,0.622814,False
Ghaddar (adult),AVM,1,0.2,20222,3618,40,6,0.178914,0.15,0.8384,0.745032,0.819536,False
Ghaddar (adult),AVM,1,0.33,20222,1714,40,2,0.084759,0.05,0.5899,0.864143,0.908067,False
Ghaddar (adult),AVM,1,0.5,20222,530,40,1,0.026209,0.025,0.9539,0.654715,0.779289,False
Ghaddar (adult),CAN,1,0.01,20222,6655,40,19,0.329097,0.475,1.4433,0.038724,0.232346,False
