mesh,x,y,z,cls,interpolated,y_um,d_nn_um,d_nn_bl,pde_shared_zone
ADEL,0.0381783619523048,-2.799147844314575,0.4822543784976005,ADE,False,-321.3421725273132,55.04219649003134,0.4794616418992277,False
ADEL,0.038238413631916,-2.7899919152259827,0.4877442345023155,ADE,False,-320.2910718679428,54.088302162723224,0.47115245786344273,False
ADEL,0.0398051440715789,-2.789864182472229,0.4860532879829407,ADE,False,-320.2764081478119,54.046760297378036,0.4707905949248958,False
ADEL,0.0365515872836113,-2.789552927017212,0.4862290322780609,ADE,False,-320.2406760215759,54.013219366840154,0.47049842654041946,False
ADEL,0.0381183177232742,-2.7894251942634583,0.484538085758686,ADE,False,-320.226012301445,53.97161370272773,0.470136007863482,False
ADEL,0.0381183214485645,-2.770817518234253,0.4867641255259514,ADE,False,-318.0898510932922,51.89446155663131,0.45204234805427973,False
ADEL,0.0398051477968692,-2.7708166241645813,0.4883216992020607,ADE,False,-318.0897484540939,51.922229564776224,0.4522842296583295,False
ADEL,0.0365515910089015,-2.770473062992096,0.4884026423096657,ADE,False,-318.0503076314926,51.88359292706594,0.4519476735807138,False
ADEL,0.0382384173572063,-2.7704721689224243,0.489960215985775,ADE,False,-318.0502049922943,51.91134380275397,0.45218940594733426,False
ADEL,0.0381183177232742,-2.710683763027191,0.4527733847498894,ADE,False,-311.1864959955215,44.576106913675574,0.3882936142306235,False
ADEL,0.0398051440715789,-2.710301399230957,0.4543087631464004,ADE,False,-311.14260063171383,44.54895954173929,0.3880571388653249,False
ADEL,0.0365515872836113,-2.709942877292633,0.4543044194579124,ADE,False,-311.10144231319424,44.50666853935335,0.3876887503427992,False
ADEL,0.038238413631916,-2.709560513496399,0.4558397978544235,ADE,False,-311.05754694938656,44.47947618037014,0.38745188310426953,False
ADEL,-0.0196408778429031,-2.707724690437317,0.3004846647381782,ADE,False,-310.84679446220395,43.323943504042646,0.37738626745681747,False
ADEL,-0.0196408778429031,-2.7045302391052246,0.29435695707798,ADE,False,-310.48007144927976,42.925559092550465,0.3739160199699518,False
