mesh,cx,cy,cz,n_verts
Guide_VR_Sublat.005,-90.88343098584343,2007.2440351598402,440.8276408139397,136
Head_Mesodermal_Cell,-0.020878952278412487,-2.3042732210535752,0.29720430380027546,152
HSNL,0.03539631650485891,-1.3956000475965915,0.0434471994955489,188
HSNR,-0.05845145472979292,-1.3953489769804985,0.04222538325182618,188
hyp1,-0.021218127419706433,-3.3256008848547935,0.5584142724052071,160
hyp10,-0.0051492178042988395,4.406443099180858,0.4130314832760228,72
hyp11,-0.005604919641175204,4.077624305089315,0.13373685777187347,90
hyp2,-0.021560763385607286,-3.3522059930844255,0.5598014492667123,178
hyp3,-0.01950024999678135,-3.3988121872146926,0.6217503299315771,96
hyp4,-0.01933432924137874,-3.417667534134605,0.5900093669241125,110
hyp5,-0.022450760162125032,-3.335101823012034,0.5750127810807455,84
hyp7,-0.006967780403939,0.2034138466659322,0.06064417244419844,3505
hyp8,-0.006108469907836667,4.090212460221915,0.09882896965176895,58
hyp9,-0.005541005401190982,4.167587262481006,0.17819940009668692,67
I1L,0.009893996703665055,-3.1071294248104095,0.5584296392542976,112
I1R,-0.05261225436281945,-3.1071296823876247,0.5584297084382602,112
I2L,-0.005458746476506349,-3.1147939302027225,0.5523402336984873,128
I2R,-0.03729511552955955,-3.1147942915558815,0.5523403258994222,128
I3,-0.020480914351840813,-3.0677709579467773,0.585667626063029,60
I4,-0.020477450003327673,-2.7354137245998826,0.4513874818072763,172
I5,-0.02107575379728161,-2.5921625615434443,0.4021772699470216,376
I6,-0.01228130804016613,-2.565796577013456,0.4447287074648417,104
IL1DL,0.026401183362069883,-2.8572356989509182,0.5371678709199554,380
IL1DR,-0.06911941379504769,-2.8572357278121143,0.5371678810370596,380
IL1L,0.04780565516958977,-2.9316533146233392,0.49577602307344304,116
IL1R,-0.0905239002714897,-2.9316535057692694,0.4957761325199029,116
IL1VL,0.02200819046067243,-2.952268275347623,0.4513303657824343,88
IL1VR,-0.06472641923888163,-2.9522681723941457,0.45133031803098594,88
IL2DL,0.02726311129332647,-2.9670629772272976,0.5682366747747768,88
IL2DR,-0.06998131667602468,-2.967062920331955,0.568236726928841,88
IL2L,0.05176721293140541,-2.9928327880122443,0.5160231993279674,88
IL2R,-0.09448545874858444,-2.9928327825936405,0.5160231823948297,88
IL2VL,0.023066399641157614,-2.9877537261872065,0.4596263642112414,84
IL2VR,-0.06578464486769267,-2.9877537460554215,0.4596263567606608,84
ILshDL,0.03633262364945205,-3.1511739058928057,0.5919281528754667,44
ILshDR,-0.07905083132738416,-3.151174160567197,0.5919280445033853,44
ILshL,0.044126714145143825,-3.201728590329488,0.5533123513062795,60
ILshR,-0.08684497127930323,-3.201728713512421,0.553312220176061,60
ILshVL,0.008848725911229849,-3.3440721213817595,0.5411094076931476,40
ILshVR,-0.05171485310420394,-3.3440721571445464,0.5409516863524914,40
ILsoDL,0.02101900687234269,-3.2913295957777233,0.6111916204293569,36
ILsoDR,-0.06373725872900751,-3.2913294434547424,0.6111915227439668,36
ILsoL,0.03517663665115833,-3.2784754812717436,0.5646239519119263,40
ILsoR,-0.0778948873281479,-3.278475522994995,0.5646239951252937,40
ILsoVL,0.01067299279384315,-3.316694028675556,0.5361223435029387,32
ILsoVR,-0.053391225868836045,-3.3166940733790398,0.5361223872750998,32
int1DL,-0.034560564905405045,-2.043451305798122,0.1912770356450762,70
int1DR,-0.11447204297906916,-2.0409629496050554,0.1918462197702955,71
int1VL,-0.03459483016548412,-2.0847977246556963,0.0905006602938686,70
int1VR,-0.11475721427372523,-2.085072840963091,0.09048749070082392,70
int2D,-0.09247009156064855,-1.2903756126761436,-0.24484197109834188,72
int2V,-0.09270727963497241,-1.358489735921224,-0.2987348648409049,60
int3D,-0.10069071103094353,-0.6254531774255965,-0.3603732908765475,72
int3V,-0.10008581981740215,-0.6420071989749417,-0.44527631998062134,66
int4D,-0.06521046086258832,0.01583726647576051,-0.12367208649049558,84
int4V,-0.06562204605766706,0.03557610454126483,-0.1757055413687513,84
int5L,0.03432416036311123,0.7394538120263152,0.21704453674869406,72
int5R,-0.06654006253100103,0.7396857477724552,0.21715281546736756,72
int6L,0.07230831908860377,1.36886347475506,0.2889760805382615,84
int6R,0.00028763157093808766,1.3703209246907915,0.29054749065211843,84
int7L,0.09291018986453613,2.035493896404902,0.16342966829737027,60
int7R,0.0385577170488735,2.0355423986911774,0.16345872624466817,60
int8L,0.08242311868816614,2.7335931261380515,-0.0032625244930386543,60
int8R,0.03591118818148971,2.7331746141115825,-0.0032288181595504285,60
int9L,0.04040028277086094,3.4823976010084152,-0.036381698989619814,96
int9R,0.008920032036257908,3.4815074801445007,-0.03685647388920188,96
Intestine,1.3370901860039808e-07,-1.093950764886264e-06,-1.0321880209034887e-05,464
K,-0.03889951191376895,3.842283477385839,0.01709005667847426,48
Kprime,-0.028075901209376752,3.841322104136149,0.017091935279798538,48
LUAL,0.012642003906269869,3.8936588406562804,-0.045355505185822646,60
LUAR,-0.03888261821120977,3.893658463160197,-0.04535552617162466,60
M1,-0.011513560473249527,-3.0135077691078185,0.5303969869017601,100
M2L,0.028086409027523854,-2.8217321634292603,0.5044138457845239,68
M2R,-0.07080464607433361,-2.821732265107772,0.5044139001299354,68
M3L,0.027440653493007023,-2.9324572066466015,0.5059788540005684,120
M3R,-0.07015889193862676,-2.9324575304985045,0.5059788912534714,120
M4,-0.020099600842925457,-2.7686584355696193,0.47170936330309454,212
M5,-0.02191662356564885,-2.4916751104958204,0.38669282623699736,196
mc1DL,0.01067887750105001,-3.134337999754482,0.5702449279940791,288
mc1DR,-0.05329873534436855,-3.134311197532548,0.5701006392223967,288
mc1V,-0.020575974622352732,-3.135584060236704,0.5094345039386543,278
mc2DL,0.012106575307042636,-2.7545388814100287,0.4841503398012869,194
mc2DR,-0.05480883479809638,-2.754515640514413,0.48415216158345803,194
mc2V,-0.020942629151737568,-2.7577753632339004,0.4295203572081536,194
mc3DL,0.020230859779169625,-2.4799517638215396,0.40374560264226433,214
mc3DR,-0.06297379693834582,-2.48009899843519,0.4037904689245135,214
mc3V,-0.02151273633353412,-2.5088623229493487,0.33311513486377736,188
MCL,-0.01641649673242242,-2.9248654707785575,0.5223501903876182,124
MCR,-0.024317437722798315,-2.924865630365187,0.5223501766881635,124
MI,-0.022955548181198538,-2.900935021042824,0.51849698536098,80
mu_anal,-0.028818312925164048,3.9701894239375464,0.0675384812937792,76
mu_bod_DL1,0.05574322831543053,-3.2175132877686443,0.6067915693217633,102
mu_bod_DL10,0.06261074869323147,-1.7305003145868465,0.14659940067303273,129
mu_bod_DL11,0.17894821238201275,-0.6793436666505527,-0.2791378234340026,113
mu_bod_DL12,0.06285239930874036,-1.0916444581967812,-0.16226145078968487,162
mu_bod_DL13,0.18864179531048084,-0.08429301883383043,-0.0957572777573576,87
mu_bod_DL14,0.06774704647408862,-0.38721012757444867,-0.14035080662187266,147
mu_bod_DL15,0.18837059679485502,0.5612843050843194,0.22520972386239066,126
mu_bod_DL16,0.07014502443018414,0.2993771995474793,0.18456798846370914,147
mu_bod_DL17,0.17750964035827016,1.3253431670249454,0.41316208479896427,126
mu_bod_DL18,0.06432552075733436,1.0252235524493492,0.45412262652549273,163
mu_bod_DL19,0.17831296433468122,1.905725332530769,0.3521107082834115,74
mu_bod_DL2,0.015853397602345363,-3.245532421178596,0.6411759749401448,86
