mesh,x,y,z
ADEL,-0.017137663438916206,-2.5743213295936584,0.2110762670636177
ADEL,-0.017137663438916206,-2.573089361190796,0.21409700065851212
ADEL,-0.015433188527822495,-2.573705315589905,0.2125866450369358
ADEL,-0.018842138350009918,-2.5737053751945496,0.21258662268519402
ADEL,-0.016161151230335236,-2.4342164397239685,0.15045104548335075
ADEL,-0.013015983626246452,-2.434806227684021,0.15047596022486687
ADEL,-0.01464357040822506,-2.4345043897628784,0.1520823948085308
ADEL,-0.014533564448356628,-2.434518277645111,0.1488446108996868
ADEL,-0.012522423639893532,-2.4252443313598633,0.15302440896630287
ADEL,-0.010163994506001472,-2.427207052707672,0.15306144580245018
ADEL,-0.011453215032815933,-2.42633056640625,0.1546543650329113
ADEL,-0.011233203113079071,-2.4261208176612854,0.15143148973584175
ADEL,0.011732157319784164,-2.4153871536254883,0.16821076348423958
ADEL,0.012720964848995209,-2.4183754920959473,0.16835202276706696
ADEL,0.01162244938313961,-2.41691517829895,0.16969804093241692
ADEL,0.012830672785639763,-2.4168474674224854,0.16686474531888962
ADEL,0.05718103237450123,-2.4056578278541565,0.218516293913126
ADEL,0.0574329923838377,-2.408874988555908,0.21878966316580772
ADEL,0.05612344108521938,-2.40726637840271,0.2197437807917595
ADEL,0.058490583673119545,-2.4072664380073547,0.21756217628717422
ADEL,0.09571038372814655,-2.4021764397621155,0.2756935805082321
ADEL,0.09582123160362244,-2.405458092689514,0.2759431526064873
ADEL,0.09427559748291969,-2.4038172364234924,0.27629823982715607
ADEL,0.0972560178488493,-2.403817296028137,0.2753384932875633
ADEL,-0.014855138957500458,-2.4595224261283875,0.15912366658449173
ADEL,-0.014890562742948532,-2.459162473678589,0.162428367882967
ADEL,-0.016535423696041107,-2.4593390822410583,0.16077281907200813
ADEL,-0.013210278004407883,-2.459345817565918,0.1607792153954506
ADEL,-0.021359100937843323,-2.6837980151176453,0.27120962738990784
ADEL,-0.017922624945640564,-2.6837979555130005,0.2712096720933914
ADEL,-0.019640862941741943,-2.682770073413849,0.2725520208477974
ADEL,-0.019640862941741943,-2.684825897216797,0.26986727863550186
ADEL,-0.021359115839004517,-2.703502357006073,0.295699305832386
ADEL,-0.017922639846801758,-2.7035022974014282,0.2956993505358696
ADEL,-0.019640877842903137,-2.7024744153022766,0.2970416992902756
ADEL,-0.019640877842903137,-2.7045302391052246,0.29435695707798004
ADEL,-0.019640877842903137,-2.707724690437317,0.30048466473817825
ADEL,0.09999123401939869,-2.42368221282959,0.32428567856550217
ADEL,0.11999119818210602,-2.42368221282959,0.32428567856550217
ADEL,0.10999121516942978,-2.42702579498291,0.3148612082004547
ADEL,0.10999121703207493,-2.4203386306762695,0.3337101489305496
ADEL,0.10999121703207493,-2.4122323989868164,0.32665112614631653
ADEL,0.10999121516942978,-2.416283130645752,0.31523309648036957
ADEL,0.11604884266853333,-2.414257764816284,0.32094211131334305
ADEL,0.10393358953297138,-2.414257764816284,0.32094211131334305
ADEL,0.10809554532170296,-2.4124763011932373,0.31995269656181335
ADEL,0.1118868887424469,-2.4124763011932373,0.31995269656181335
ADEL,0.10999121703207493,-2.4133960008621216,0.31833799183368683
ADEL,0.10999121703207493,-2.411556601524353,0.3215674012899399
ADEL,0.10999121889472008,-2.4058674573898315,0.3089754283428192
ADEL,0.10999121889472008,-2.40867280960083,0.307838499546051
ADEL,0.11166729032993317,-2.407270133495331,0.3084069639444351
ADEL,0.10831514745950699,-2.407270133495331,0.3084069639444351
