genotype,metric,n_recordings,n_particles,fold_change,fc_lo,fc_hi,p_raw,q,stars
TO5A1.5,pirouette_rate,3,220,2.3350,0.4213,4.2488,0.1778,0.6001,
ctg-1,pirouette_rate,3,466,1.5269,0.0974,2.9565,0.4743,0.7788,
octr-1+ser-6,pirouette_rate,3,186,1.7906,0.2917,3.2895,0.3063,0.7487,
tph-1,pirouette_rate,3,417,1.1227,-0.3632,2.6085,0.8722,0.9626,
bas-1+cest-2.1,pirouette_rate,3,267,1.4661,-0.0079,2.9401,0.5387,0.7788,
mec-10,pirouette_rate,3,463,1.2048,-0.2418,2.6514,0.7828,0.9607,
octr-1+ser-3+ser-6,pirouette_rate,3,287,2.7430,1.2479,4.2381,0.0268,0.1812,
tyra-2,pirouette_rate,3,479,2.1470,0.7180,3.5761,0.1234,0.5554,
ser-6,pirouette_rate,3,155,2.7487,1.1715,4.3259,0.0340,0.1836,
tdc-1,pirouette_rate,3,370,3.0216,1.5498,4.4934,0.0103,0.0925,
tbh-1,pirouette_rate,3,409,2.1252,0.2561,3.9943,0.2443,0.7330,
slc.17.1a,pirouette_rate,3,370,1.1385,-0.4942,2.7711,0.8687,0.9626,
fcmt-1,pirouette_rate,3,219,1.7901,0.1126,3.4677,0.3605,0.7487,
nhr-49,pirouette_rate,3,188,1.3417,-0.1603,2.8436,0.6576,0.8878,
gba-4,pirouette_rate,3,272,,,,,,
glo-1,pirouette_rate,3,113,,,,,,
cest-1.2,pirouette_rate,3,331,,,,,,
ugt-31+ugt-64,pirouette_rate,3,718,1.6868,0.2721,3.1016,0.3475,0.7487,
octr-1,pirouette_rate,3,451,1.0564,-0.3757,2.4885,0.9388,0.9626,
ser-2,pirouette_rate,3,253,0.5366,-0.9640,2.0371,0.5480,0.7788,
tdc-1+tbh-1,pirouette_rate,3,343,1.0538,-1.1812,3.2887,0.9626,0.9626,
cest-2.1,pirouette_rate,3,342,1.6235,-0.0226,3.2696,0.4617,0.7788,
ugt-31,pirouette_rate,3,614,0.5385,-0.8843,1.9613,0.5288,0.7788,
cest2.1 + tbh-1,pirouette_rate,3,351,1.3379,-0.3473,3.0231,0.6961,0.8950,
cat-1,pirouette_rate,3,262,0.9140,-0.7522,2.5801,0.9198,0.9626,
ugt-64,pirouette_rate,3,208,,,,,,
