mesh,vid,x,y,z
ADEL,0,-0.02135908603668213,-2.667288064956665,0.25284767150878906
ADEL,1,-0.01792261004447937,-2.667288064956665,0.25284770131111145
ADEL,2,-0.02135908603668213,-2.669343948364258,0.25016289949417114
ADEL,3,-0.01792261004447937,-2.669343948364258,0.2501629590988159
ADEL,4,-0.012943767011165619,-2.4792985916137695,0.17198960483074188
ADEL,5,-0.016325190663337708,-2.4792988300323486,0.17198960483074188
ADEL,6,-0.012943767011165619,-2.4788906574249268,0.17534631490707397
ADEL,7,-0.016325190663337708,-2.4788906574249268,0.17534631490707397
ADEL,8,-0.016765862703323364,-2.439420461654663,0.14948873221874237
ADEL,9,-0.013527430593967438,-2.439448118209839,0.14953210949897766
ADEL,10,-0.01672545075416565,-2.439746379852295,0.1462666243314743
ADEL,11,-0.015651226043701172,-2.4289915561676025,0.15463584661483765
ADEL,12,-0.012629762291908264,-2.430157423019409,0.15467289090156555
ADEL,13,-0.012480594217777252,-2.429873466491699,0.1514500081539154
ADEL,14,-0.015502065420150757,-2.4287073612213135,0.1514129787683487
ADEL,15,-0.007918238639831543,-2.424466371536255,0.15467289090156555
ADEL,16,-0.009613633155822754,-2.4217069149017334,0.15463583171367645
ADEL,17,-0.007627382874488831,-2.424330949783325,0.1514499932527542
ADEL,18,-0.009322769939899445,-2.4215714931488037,0.1514129787683487
ADEL,19,0.03186972439289093,-2.409135103225708,0.1846189796924591
ADEL,20,0.03215194493532181,-2.4123523235321045,0.18486446142196655
ADEL,21,0.0342775359749794,-2.4123523235321045,0.1824207454919815
ADEL,22,0.033995307981967926,-2.409135103225708,0.18217526376247406
ADEL,23,0.08012519776821136,-2.4021804332733154,0.25459522008895874
ADEL,24,0.08034689724445343,-2.405397653579712,0.25489646196365356
ADEL,25,0.08295559138059616,-2.405397653579712,0.2529769837856293
ADEL,26,0.08273389935493469,-2.4021806716918945,0.25267571210861206
ADEL,27,-0.013426147401332855,-2.4397459030151367,0.14624883234500885
ADEL,28,-0.021359115839004517,-2.6982522010803223,0.29225635528564453
ADEL,29,-0.021359115839004517,-2.700307846069336,0.2895715832710266
ADEL,30,-0.017922639846801758,-2.698251962661743,0.29225635528564453
ADEL,31,-0.017922639846801758,-2.700307846069336,0.2895716726779938
ADEL,32,-0.021359115839004517,-2.7087526321411133,0.2991422414779663
ADEL,33,-0.021359115839004517,-2.7066967487335205,0.3018270432949066
ADEL,34,-0.017922639846801758,-2.7066967487335205,0.3018270432949066
ADEL,35,-0.017922639846801758,-2.7087526321411133,0.29914233088493347
ADEL,36,0.09999123960733414,-2.410914182662964,0.3303666114807129
ADEL,37,0.09999123215675354,-2.4176013469696045,0.3115176260471344
ADEL,38,0.09999123215675354,-2.436450242996216,0.318204790353775
ADEL,39,0.09999123215675354,-2.429763078689575,0.33705368638038635
ADEL,40,0.11999119818210602,-2.410914182662964,0.3303666114807129
ADEL,41,0.11999119818210602,-2.4176013469696045,0.3115176260471344
ADEL,42,0.11999119818210602,-2.436450242996216,0.318204790353775
ADEL,43,0.11999119818210602,-2.429763078689575,0.33705368638038635
ADEL,44,0.11210648715496063,-2.4149649143218994,0.31894856691360474
ADEL,45,0.11210648715496063,-2.413550615310669,0.32293564081192017
ADEL,46,0.10787594318389893,-2.4149649143218994,0.31894856691360474
ADEL,47,0.10787594318389893,-2.413550615310669,0.32293564081192017
ADEL,48,0.10831514745950699,-2.409562587738037,0.3201991617679596
ADEL,49,0.10831514745950699,-2.4118270874023438,0.3177274167537689
ADEL,50,0.11166729032993317,-2.409562587738037,0.3201991617679596
ADEL,51,0.11166729032993317,-2.4118270874023438,0.3177274167537689
ADEL,52,0.11166729032993317,-2.4055185317993164,0.29794958233833313
ADEL,53,0.11166729032993317,-2.402172327041626,0.29775169491767883
ADEL,54,0.10831514745950699,-2.4055185317993164,0.29794958233833313
ADEL,55,0.10831514745950699,-2.402172327041626,0.29775169491767883
ADEL,56,0.11208176612854004,-2.4324076175689697,0.3295994699001312
ADEL,57,0.11208176612854004,-2.4338057041168213,0.32565900683403015
ADEL,58,0.10790067166090012,-2.4324076175689697,0.3295994699001312
ADEL,59,0.10790067166090012,-2.4338057041168213,0.32565900683403015
ADEL,60,0.10835456103086472,-2.4561781883239746,0.3359757363796234
ADEL,61,0.10835456103086472,-2.4550836086273193,0.3390606641769409
ADEL,62,0.11162786930799484,-2.4561781883239746,0.3359757363796234
ADEL,63,0.11162786930799484,-2.4550836086273193,0.3390606641769409
ADEL,64,0.10502303391695023,-2.508388042449951,0.3642321825027466
ADEL,65,0.10502303391695023,-2.5094823837280273,0.3611472547054291
ADEL,66,0.10829634964466095,-2.5094823837280273,0.3611472547054291
ADEL,67,0.10829634964466095,-2.508388042449951,0.3642321825027466
ADEL,68,0.07728522270917892,-2.5440924167633057,0.3782986104488373
ADEL,69,0.07656456530094147,-2.5449161529541016,0.3752136826515198
ADEL,70,0.07902808487415314,-2.5470714569091797,0.3752136826515198
ADEL,71,0.07974873483181,-2.546247720718384,0.3782986104488373
ADEL,72,0.037351980805397034,-2.5914995670318604,0.3945860266685486
ADEL,73,0.03723188489675522,-2.592587471008301,0.3915010988712311
ADEL,74,0.040605537593364716,-2.5918588638305664,0.3945860266685486
ADEL,75,0.0404854416847229,-2.592946767807007,0.39150112867355347
ADEL,76,0.03649154305458069,-2.631932020187378,0.4059668183326721
ADEL,77,0.036611638963222504,-2.630631923675537,0.40896856784820557
ADEL,78,0.03974509984254837,-2.6322901248931885,0.405991792678833
ADEL,79,0.039865195751190186,-2.6309902667999268,0.40899354219436646
ADEL,80,0.03649154305458069,-2.6356334686279297,0.40781766176223755
ADEL,81,0.036611638963222504,-2.634333848953247,0.4108193814754486
ADEL,82,0.03974509984254837,-2.6359918117523193,0.40784263610839844
ADEL,83,0.039865195751190186,-2.6346919536590576,0.4108443856239319
ADEL,84,0.03649153560400009,-2.6596946716308594,0.4204034209251404
ADEL,85,0.03661163151264191,-2.6583948135375977,0.42340514063835144
ADEL,86,0.03974509239196777,-2.66005277633667,0.42042842507362366
ADEL,87,0.03986518830060959,-2.6587531566619873,0.4234301447868347
ADEL,88,0.03649154305458069,-2.7613143920898438,0.48513901233673096
ADEL,89,0.036611638963222504,-2.7603676319122314,0.488270103931427
ADEL,90,0.039865195751190186,-2.7607264518737793,0.48825380206108093
ADEL,91,0.03974509984254837,-2.7616732120513916,0.4851226806640625
ADEL,92,0.036611638963222504,-2.780233144760132,0.4917312562465668
ADEL,93,0.03649154305458069,-2.7799770832061768,0.488470196723938
ADEL,94,0.039865195751190186,-2.7805614471435547,0.49158570170402527
ADEL,95,0.03974509984254837,-2.7803053855895996,0.4883246123790741
ADEL,96,0.03661163151264191,-2.7994394302368164,0.4839329421520233
ADEL,97,0.03649153560400009,-2.7985620498657227,0.4807817339897156
ADEL,98,0.03974509239196777,-2.798856258392334,0.4805757999420166
ADEL,99,0.03986518830060959,-2.7997336387634277,0.48372703790664673
ADEL,100,0.03932669013738632,-2.6330294609069824,0.4123164713382721
ADEL,101,0.03726665675640106,-2.6328160762786865,0.41223761439323425
ADEL,102,0.03932669013738632,-2.6311087608337402,0.4105337858200073
ADEL,103,0.03726665675640106,-2.6308956146240234,0.4104549288749695
ADEL,104,0.0376189723610878,-2.616485834121704,0.4091661870479584
ADEL,105,0.03922039270401001,-2.6165411472320557,0.4093341529369354
ADEL,106,0.0376189723610878,-2.6163296699523926,0.4111972451210022
ADEL,107,0.03922039270401001,-2.616384744644165,0.41136521100997925
ADEL,108,0.040112175047397614,-2.593413829803467,0.4046972990036011
ADEL,109,0.038510747253894806,-2.5933587551116943,0.404529333114624
ADEL,110,0.040112175047397614,-2.5935702323913574,0.40266624093055725
ADEL,111,0.038510747253894806,-2.593514919281006,0.4024982750415802
ADEL,112,0.06361840665340424,-2.5670313835144043,0.39315593242645264
ADEL,113,0.06466282904148102,-2.568246603012085,0.3933238983154297
ADEL,114,0.06373331695795059,-2.566925525665283,0.39518699049949646
ADEL,115,0.06477776169776917,-2.568140745162964,0.3953549563884735
ADEL,116,0.10921595990657806,-2.524705410003662,0.3804210126399994
ADEL,117,0.10924459993839264,-2.5231032371520996,0.38025304675102234
ADEL,118,0.10905971378087997,-2.524707794189453,0.37838995456695557
ADEL,119,0.10908838361501694,-2.5231058597564697,0.3782219886779785
ADEL,120,0.15100586414337158,-2.5024449825286865,0.37065497040748596
ADEL,121,0.15107890963554382,-2.5040457248687744,0.3708229660987854
ADEL,122,0.15116159617900848,-2.5024325847625732,0.3726860582828522
ADEL,123,0.1512346714735031,-2.504033088684082,0.37285399436950684
ADEL,124,0.1906532496213913,-2.502356767654419,0.3731294572353363
ADEL,125,0.19058015942573547,-2.500756025314331,0.37296149134635925
ADEL,126,0.190497487783432,-2.5023691654205322,0.3710983991622925
ADEL,127,0.19042444229125977,-2.5007684230804443,0.37093043327331543
ADEL,128,0.19766496121883392,-2.500460624694824,0.3702612519264221
ADEL,129,0.19773800671100616,-2.502061128616333,0.37042921781539917
ADEL,130,0.19782069325447083,-2.500447988510132,0.37229230999946594
ADEL,131,0.19789378345012665,-2.5020487308502197,0.3724602460861206
ADER,0,-0.21065601706504822,-2.5020484924316406,0.37246018648147583
ADER,1,-0.21058289706707,-2.5004477500915527,0.3722922205924988
ADER,2,-0.21050012111663818,-2.502061128616333,0.370429128408432
ADER,3,-0.21042722463607788,-2.500460386276245,0.37026116251945496
ADER,4,-0.20318657159805298,-2.5007681846618652,0.37093037366867065
ADER,5,-0.2032596915960312,-2.502368927001953,0.3710983395576477
ADER,6,-0.20334234833717346,-2.500755786895752,0.3729614317417145
ADER,7,-0.20341546833515167,-2.50235652923584,0.37312939763069153
ADER,8,-0.1945217400789261,-2.504033088684082,0.37285393476486206
ADER,9,-0.19444862008094788,-2.502432346343994,0.3726859986782074
ADER,10,-0.1943659484386444,-2.5040454864501953,0.3708229064941406
ADER,11,-0.19429294764995575,-2.5024447441101074,0.3706549108028412
ADER,12,-0.1523755043745041,-2.5231056213378906,0.37822192907333374
ADER,13,-0.15234677493572235,-2.524707794189453,0.3783899247646332
ADER,14,-0.15253163874149323,-2.5231029987335205,0.38025301694869995
ADER,15,-0.1525031179189682,-2.524705171585083,0.3804209530353546
ADER,16,-0.10806490480899811,-2.5681405067443848,0.3953549265861511
ADER,17,-0.107020303606987,-2.566925287246704,0.3951869606971741
ADER,18,-0.10794992744922638,-2.568246364593506,0.3933238685131073
ADER,19,-0.10690545290708542,-2.567031145095825,0.39315590262413025
ADER,20,-0.0817977786064148,-2.593514919281006,0.4024982452392578
ADER,21,-0.08339927345514297,-2.5935699939727783,0.40266621112823486
ADER,22,-0.0817977786064148,-2.5933585166931152,0.40452930331230164
ADER,23,-0.08339927345514297,-2.593413829803467,0.4046972692012787
ADER,24,-0.08250747621059418,-2.616384744644165,0.41136518120765686
ADER,25,-0.08090608566999435,-2.6163294315338135,0.4111972153186798
ADER,26,-0.08250747621059418,-2.6165409088134766,0.40933412313461304
ADER,27,-0.08090608566999435,-2.616485834121704,0.409166157245636
ADER,28,-0.08055371046066284,-2.6308953762054443,0.4104548990726471
ADER,29,-0.08261381834745407,-2.6311087608337402,0.4105337858200073
ADER,30,-0.08055371046066284,-2.6328160762786865,0.41223758459091187
ADER,31,-0.08261381834745407,-2.6330292224884033,0.4123164415359497
ADER,32,-0.08315232396125793,-2.7997336387634277,0.48372700810432434
ADER,33,-0.08303218334913254,-2.798856258392334,0.4805757701396942
ADER,34,-0.07977859675884247,-2.7985618114471436,0.4807817041873932
ADER,35,-0.07989874482154846,-2.7994391918182373,0.4839329123497009
ADER,36,-0.08303218334913254,-2.7803051471710205,0.4883245825767517
ADER,37,-0.08315232396125793,-2.7805612087249756,0.49158570170402527
ADER,38,-0.07977859675884247,-2.7799768447875977,0.4884701669216156
ADER,39,-0.07989874482154846,-2.7802329063415527,0.491731196641922
ADER,40,-0.08303218334913254,-2.7616729736328125,0.4851226508617401
ADER,41,-0.08315232396125793,-2.7607262134552,0.48825377225875854
ADER,42,-0.07989874482154846,-2.7603673934936523,0.4882700741291046
ADER,43,-0.07977859675884247,-2.7613141536712646,0.48513898253440857
ADER,44,-0.08315232396125793,-2.658752918243408,0.42343011498451233
ADER,45,-0.08303218334913254,-2.66005277633667,0.4204283654689789
ADER,46,-0.07989874482154846,-2.6583945751190186,0.42340514063835144
ADER,47,-0.07977859675884247,-2.6596944332122803,0.420403391122818
ADER,48,-0.08315232396125793,-2.6346919536590576,0.4108443856239319
ADER,49,-0.08303218334913254,-2.6359918117523193,0.40784263610839844
ADER,50,-0.07989874482154846,-2.634333610534668,0.4108193814754486
ADER,51,-0.07977859675884247,-2.6356334686279297,0.40781763195991516
ADER,52,-0.08315232396125793,-2.6309902667999268,0.40899351239204407
ADER,53,-0.08303218334913254,-2.6322901248931885,0.405991792678833
ADER,54,-0.07989874482154846,-2.630631923675537,0.4089685380458832
ADER,55,-0.07977859675884247,-2.631931781768799,0.40596678853034973
ADER,56,-0.0837724581360817,-2.5929465293884277,0.3915010988712311
ADER,57,-0.08389260619878769,-2.5918586254119873,0.3945859968662262
ADER,58,-0.08051899075508118,-2.5925872325897217,0.3915010988712311
ADER,59,-0.08063901960849762,-2.5914995670318604,0.3945859968662262
ADER,60,-0.12303575873374939,-2.546247720718384,0.3782985806465149
ADER,61,-0.12231513857841492,-2.5470712184906006,0.3752136528491974
ADER,62,-0.11985161900520325,-2.5449159145355225,0.3752136528491974
ADER,63,-0.12057223170995712,-2.5440921783447266,0.3782985508441925
ADER,64,-0.15158338844776154,-2.508387804031372,0.3642321228981018
ADER,65,-0.15158338844776154,-2.5094823837280273,0.3611471951007843
ADER,66,-0.14831002056598663,-2.5094823837280273,0.3611471951007843
ADER,67,-0.14831002056598663,-2.508387804031372,0.3642321228981018
ADER,68,-0.15491491556167603,-2.4550836086273193,0.33906060457229614
ADER,69,-0.15491491556167603,-2.4561779499053955,0.335975706577301
ADER,70,-0.15164156258106232,-2.4550836086273193,0.33906060457229614
ADER,71,-0.15164156258106232,-2.4561779499053955,0.335975706577301
ADER,72,-0.15118765830993652,-2.433805465698242,0.32565897703170776
ADER,73,-0.15118765830993652,-2.4324076175689697,0.32959944009780884
ADER,74,-0.15536880493164062,-2.433805465698242,0.32565897703170776
ADER,75,-0.15536880493164062,-2.4324076175689697,0.32959944009780884
ADER,76,-0.15160223841667175,-2.402172088623047,0.29775166511535645
ADER,77,-0.15160223841667175,-2.4055182933807373,0.29794955253601074
ADER,78,-0.15495434403419495,-2.402172088623047,0.29775166511535645
ADER,79,-0.15495434403419495,-2.4055182933807373,0.29794955253601074
ADER,80,-0.15495434403419495,-2.4118268489837646,0.31772738695144653
ADER,81,-0.15495434403419495,-2.409562587738037,0.3201991319656372
ADER,82,-0.15160223841667175,-2.4118268489837646,0.31772738695144653
ADER,83,-0.15160223841667175,-2.409562587738037,0.3201991319656372
ADER,84,-0.15116305649280548,-2.41355037689209,0.3229356110095978
ADER,85,-0.15116305649280548,-2.4149649143218994,0.31894853711128235
ADER,86,-0.15539364516735077,-2.41355037689209,0.3229356110095978
ADER,87,-0.15539364516735077,-2.4149649143218994,0.31894853711128235
ADER,88,-0.1632782369852066,-2.429763078689575,0.33705365657806396
ADER,89,-0.1632782369852066,-2.436450242996216,0.31820476055145264
ADER,90,-0.1632782369852066,-2.4176011085510254,0.311517596244812
ADER,91,-0.1632782369852066,-2.410914182662964,0.3303665518760681
ADER,92,-0.1432783454656601,-2.429763078689575,0.33705365657806396
ADER,93,-0.1432783454656601,-2.4364500045776367,0.31820476055145264
