genotype,date,n_particles,n_reversals,n_pirouettes,n_excluded,speed,reversal_rate,pirouette_rate,speed_norm,reversal_rate_norm,pirouette_rate_norm,speed_date_matched,reversal_rate_date_matched,pirouette_rate_date_matched,results_dir
N2,20260307,68,49,90,0,0.1369,1.8017,6.7891,0.8384,1.3007,4.4129,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260307_N2_off_food-03072026084355-0000_results
T10C6.6,20260126,38,26,65,0,0.1135,1.0405,2.4803,0.6950,0.7512,1.6122,False,False,False,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/T10C6.6/20260126 T10C6.6 off food-01262026141928-0000_results
T10C6.6,20260128,93,77,325,0,0.0747,1.4674,9.1171,0.4577,1.0593,5.9261,False,False,False,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/T10C6.6/20260128 T10C6.6 off food-01282026133128-0000_results
T10C6.6,20260129,58,66,72,0,0.0849,1.2520,2.0896,0.5333,1.1397,2.5439,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/T10C6.6/20260129_T10C6.6_off_food-01292026142109-0000_results
ser-2,20260217,30,118,51,0,0.1383,2.8704,1.0819,0.8633,2.3780,1.0029,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/ser-2/20260217_ser-2_off_food-02172026135552-0000_results
ser-2,20260218,83,73,72,0,0.1607,0.8247,0.8469,0.9972,0.6516,0.7910,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/ser-2/20260218_ser-2_off_food-02182026113153-0000_results
ser-2,20260219,140,86,108,0,0.1726,1.5339,1.7269,1.2892,0.6776,0.7526,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/ser-2/20260219_ser-2_off_food-02192026103109-0000_results
ugt-64,20260126,72,22,12,0,0.2440,0.5843,0.7687,1.4941,0.4218,0.4996,False,False,False,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/ugt-64/20260126 ugt-64 off food-01262026142428-0000_results
ugt-64,20260127,84,33,27,0,0.2340,0.8808,0.9435,1.4329,0.6359,0.6133,False,False,False,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/ugt-64/20260127 ugt-64 off food-01272026131316-0000_results
ugt-64,20260128,52,56,32,0,0.2466,1.1323,0.5987,1.5102,0.8174,0.3891,False,False,False,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/ugt-64/20260128 ugt-64 off food-01282026131122-0000_results
