genotype,date,recording_id,forward_run_speed_mm_s,reversal_rate_per_min,pirouette_rate_per_min
N2,20260123,N2##20260123,0.2347,1.7045,1.7045
N2,20260123,N2##20260123,0.2329,0.0000,0.0000
N2,20260123,N2##20260123,0.2402,0.0000,0.0000
N2,20260123,N2##20260123,0.2209,0.0000,0.0000
N2,20260123,N2##20260123,0.2372,0.0000,0.0000
N2,20260123,N2##20260123,0.2057,0.0000,0.0000
N2,20260123,N2##20260123,0.2334,0.0000,0.0000
N2,20260123,N2##20260123,0.1693,0.0000,0.0000
N2,20260123,N2##20260123,0.1469,0.0000,0.0000
N2,20260123,N2##20260123,0.2342,0.8119,0.8119
N2,20260123,N2##20260123,0.1890,0.0000,0.0000
N2,20260123,N2##20260123,0.2137,0.0000,0.0000
N2,20260123,N2##20260123,0.2116,0.0000,0.0000
N2,20260123,N2##20260123,0.2516,1.5758,0.7879
N2,20260123,N2##20260123,0.1615,0.0000,0.0000
N2,20260123,N2##20260123,0.1869,1.4279,0.5712
N2,20260123,N2##20260123,0.2318,0.0000,0.0000
N2,20260123,N2##20260123,0.2122,0.0000,0.0000
N2,20260123,N2##20260123,0.1875,0.0000,0.0000
N2,20260123,N2##20260123,0.2451,0.0000,0.0000
N2,20260123,N2##20260123,0.2350,4.4944,1.1236
N2,20260123,N2##20260123,0.2054,0.0000,0.0000
N2,20260123,N2##20260123,0.2436,3.9735,0.0000
N2,20260123,N2##20260123,0.2101,1.7094,1.7094
N2,20260123,N2##20260123,0.2033,0.0000,0.0000
N2,20260123,N2##20260123,0.2060,0.0000,0.0000
N2,20260123,N2##20260123,0.2477,0.0000,0.0000
N2,20260123,N2##20260123,0.1820,0.9804,2.4510
N2,20260123,N2##20260123,0.2144,0.0000,0.0000
N2,20260123,N2##20260123,0.2634,0.0000,0.0000
N2,20260123,N2##20260123,0.2378,3.6364,3.6364
N2,20260123,N2##20260123,0.1382,0.0000,5.5046
N2,20260123,N2##20260123,0.2046,0.0000,0.0000
N2,20260123,N2##20260123,0.2068,2.0478,0.0000
N2,20260123,N2##20260123,0.2414,0.0000,0.0000
N2,20260123,N2##20260123,0.2502,0.0000,0.0000
N2,20260123,N2##20260123,0.2158,0.0000,0.0000
N2,20260123,N2##20260123,0.1623,0.0000,1.0067
N2,20260123,N2##20260123,0.2547,1.0435,1.0435
N2,20260123,N2##20260123,0.2692,1.4151,1.4151
N2,20260123,N2##20260123,0.2245,0.0000,0.0000
N2,20260123,N2##20260123,0.1856,0.0000,0.0000
N2,20260123,N2##20260123,0.2238,0.0000,0.0000
N2,20260123,N2##20260123,0.1956,0.0000,0.0000
N2,20260124,N2##20260124,0.2249,0.0000,0.0000
N2,20260124,N2##20260124,0.2153,0.0000,0.0000
N2,20260124,N2##20260124,0.1839,0.0000,0.0000
N2,20260124,N2##20260124,0.1895,0.0000,0.0000
N2,20260124,N2##20260124,0.1942,0.0000,0.0000
N2,20260124,N2##20260124,0.1800,0.0000,0.0000
N2,20260124,N2##20260124,0.2189,0.0000,0.0000
N2,20260124,N2##20260124,0.2067,0.0000,1.0118
N2,20260124,N2##20260124,0.2259,0.0000,0.0000
N2,20260124,N2##20260124,0.1693,0.0000,0.0000
N2,20260124,N2##20260124,0.2468,2.3392,2.3392
N2,20260124,N2##20260124,0.2302,0.0000,0.0000
N2,20260124,N2##20260124,0.2438,0.0000,0.0000
N2,20260124,N2##20260124,0.2460,0.0000,0.0000
N2,20260124,N2##20260124,0.1710,0.0000,0.0000
N2,20260124,N2##20260124,0.1514,0.0000,0.0000
N2,20260124,N2##20260124,0.1882,0.0000,0.6780
N2,20260124,N2##20260124,0.1736,0.0000,0.0000
N2,20260124,N2##20260124,0.2002,0.0000,0.0000
N2,20260124,N2##20260124,0.1644,0.0000,0.0000
N2,20260124,N2##20260124,0.2243,0.0000,0.0000
N2,20260124,N2##20260124,0.2144,0.0000,0.0000
N2,20260124,N2##20260124,0.1863,0.0000,0.0000
N2,20260124,N2##20260124,0.2199,0.0000,0.0000
N2,20260124,N2##20260124,0.1637,0.0000,3.3520
N2,20260124,N2##20260124,0.1869,0.0000,0.0000
N2,20260124,N2##20260124,0.1702,0.0000,0.0000
N2,20260124,N2##20260124,0.2196,0.0000,0.0000
N2,20260124,N2##20260124,0.1779,0.8798,2.6393
N2,20260124,N2##20260124,0.1721,0.0000,0.0000
N2,20260124,N2##20260124,0.2201,0.0000,0.0000
N2,20260124,N2##20260124,0.1498,0.0000,0.0000
N2,20260124,N2##20260124,0.1845,0.0000,3.2787
N2,20260124,N2##20260124,0.1234,0.0000,0.0000
N2,20260124,N2##20260124,0.1452,0.0000,0.0000
N2,20260124,N2##20260124,0.2046,0.0000,0.0000
N2,20260124,N2##20260124,0.1958,0.0000,0.0000
N2,20260124,N2##20260124,0.2448,5.1282,2.5641
N2,20260124,N2##20260124,0.1234,0.0000,9.0909
N2,20260124,N2##20260124,0.1513,0.0000,5.6604
N2,20260124,N2##20260124,0.1814,0.0000,0.0000
N2,20260124,N2##20260124,0.1744,0.0000,0.0000
N2,20260124,N2##20260124,0.1212,0.0000,0.0000
N2,20260124,N2##20260124,0.1254,0.0000,19.3548
N2,20260124,N2##20260124,0.1385,0.0000,0.0000
N2,20260124,N2##20260124,0.2378,0.0000,0.0000
N2,20260124,N2##20260124,0.2024,0.0000,0.0000
N2,20260124,N2##20260124,0.1860,0.0000,0.0000
N2,20260124,N2##20260124,0.1836,0.0000,0.0000
N2,20260124,N2##20260124,0.2438,0.0000,7.2727
N2,20260124,N2##20260124,0.1763,0.0000,0.0000
N2,20260124,N2##20260124,0.2250,0.0000,12.5000
N2,20260124,N2##20260124,0.1531,0.0000,0.0000
N2,20260124,N2##20260124,0.1650,0.0000,0.0000
N2,20260124,N2##20260124,0.1830,4.2857,4.2857
N2,20260124,N2##20260124,0.1298,0.0000,0.0000
N2,20260124,N2##20260124,0.1491,0.0000,0.7407
N2,20260124,N2##20260124,0.1555,0.0000,0.0000
N2,20260124,N2##20260124,0.1105,0.0000,0.0000
N2,20260124,N2##20260124,0.0598,4.0268,4.0268
N2,20260124,N2##20260124,0.2068,0.0000,0.0000
N2,20260124,N2##20260124,0.1295,0.0000,7.8534
N2,20260124,N2##20260124,0.1760,9.2879,3.7152
N2,20260124,N2##20260124,0.2050,0.0000,0.0000
N2,20260124,N2##20260124,0.1912,0.0000,0.0000
N2,20260124,N2##20260124,0.1563,0.0000,0.0000
N2,20260124,N2##20260124,0.2397,0.0000,0.0000
N2,20260124,N2##20260124,0.1737,0.0000,0.0000
N2,20260124,N2##20260124,0.1309,0.0000,4.3165
N2,20260124,N2##20260124,0.1610,0.0000,0.0000
N2,20260124,N2##20260124,0.1264,0.0000,0.0000
N2,20260124,N2##20260124,0.1971,1.6129,1.6129
N2,20260124,N2##20260124,0.1251,4.5045,3.6036
N2,20260124,N2##20260124,0.2478,0.0000,0.0000
N2,20260124,N2##20260124,0.1389,0.0000,0.0000
N2,20260124,N2##20260124,0.1745,0.0000,0.0000
N2,20260124,N2##20260124,0.1914,0.0000,0.0000
N2,20260124,N2##20260124,0.2295,0.0000,0.0000
N2,20260124,N2##20260124,0.1171,0.0000,0.0000
N2,20260124,N2##20260124,0.1546,0.0000,0.0000
N2,20260124,N2##20260124,0.1652,0.0000,4.4776
N2,20260124,N2##20260124,0.2118,0.0000,0.0000
N2,20260124,N2##20260124,0.2323,0.0000,0.0000
N2,20260124,N2##20260124,0.1700,0.0000,10.1695
N2,20260129,N2##20260129,0.1837,0.0000,0.0000
N2,20260129,N2##20260129,0.1476,0.8837,0.0000
N2,20260129,N2##20260129,0.1598,0.0000,0.0000
N2,20260129,N2##20260129,0.1482,2.3762,2.3762
